task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
035-CheckProductCompatibility,"Open Amazon app, search for 'Anker 737 Power Bank'. Find its price, capacity (in mAh), and all output port types. Then, search for 'MacBook Air M2' and find its required charging port. Next, search for 'iPhone 15 Pro' and find its charging port. In Joplin app, note all the collected data and answer if the power bank can simultaneously charge both devices.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
036-CheckProductCompatibility,"Open Amazon app, search for 'Samsung T7 Shield SSD'. Find its price, storage capacity, and read/write speeds. Then search for 'PlayStation 5' and find its USB port specifications. Next, search for 'Xbox Series X' and find its USB port specifications. In Joplin app, note all collected data and answer if the SSD is fully compatible with both consoles' USB standards for external storage.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
041-CheckRamCompatibilityAndPrice,"Open the Amazon app, search for ""32GB DDR5 RAM"", filter for the ""Corsair"" brand, and remember the price and clock speed of the first item in the search results. Then, open the Bing app and search for ""ASUS ROG Strix Z790-E motherboard maximum supported memory speed"". Finally, confirm if the clock speed of that Corsair RAM is less than or equal to the motherboard's maximum supported speed. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,14,1,ENG
042-CheckSsdCompatibilityAndPrice,"Open the Amazon app, search for ""1TB External SSD"", filter for the ""Samsung"" brand, and remember the price and the read/write speed of the first item in the search results. Then, open the Bing app and search for ""PlayStation 5 external SSD speed requirement"". Finally, confirm if the SSD's speed meets or exceeds the PS5's requirement. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,17,1,ENG
064-SearchImageAndCreateNote,"Open the bing app and perform an image search for 'Global Vehicle Sales Trend by region November 2023'. Carefully analyze the first clear chart that appears in the search results. From this chart, identify the top three regions with the highest sales growth or volume, and remember the names of these regions and their corresponding data values (e.g., sales numbers or percentage growth). Finally, open the joplin app, create a new note titled 'Vehicle Sales Trend November 2023', and list the top three regions with their data","['bing','joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,17,1,ENG
068-PlanAndMessageRoute,"In the Citymapper app, find the travel times for a two-leg journey in New York City: 1) Statue of Liberty to the Empire State Building, and 2) the Empire State Building to The Metropolitan Museum of Art. For each leg, find the times for Public Transit, Walking, and Taxi. Determine the fastest possible total travel time by combining the modes for each leg. Send a message to +8613822229999 stating this fastest route combination and the total time.","['Citymapper', 'messages']",2,Y,"['Travel & Navigation: Route Planning', 'Information Retrieval: Data Extraction', 'Communication: Messaging']",Y,3,UI Interactive Output,24,1,ENG
078-CheckAndNotePermissions,"Open the Setting app and go to 'Special app access'. First, check how many apps have 'Wi-Fi control' permission and remember the count. Then, check how many apps are allowed to 'Install unknown apps' and remember that count. Finally, open the joplin app and create a note titled 'App Permissions' that records both counts.","['Setting','joplin']",2,Y,"['Device Configuration: Setting Adjustment', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,Action Execution Task,15,1,ENG
094-MultiAppPriceComparison,"Search for 'iPhone 16 Pro Max' on both the Amazon and Wish apps, remembering the price and currency from each. If the currencies are different, use the bing app to find the exchange rate to compare them. Directly answer with the name of the app, 'Amazon' or 'Wish', where the price is lower.","['Amazon', 'Wish', 'bing']",3,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Web Search']",Y,3,Direct Command Output,15,1,ENG
103-TrackSportsStandings,"In the BBC Sports app, go to the 'Formula 1' -> 'Drivers'' standings. Remember the names and points of the top three drivers. Then, for each driver, search in the Bing app for their age. In the Joplin app, create a note titled ""F1 Top 3 Ages"" listing each driver with their points and age.","['BBC Sports', 'bing', 'joplin']",3,Y,"['Sports: Content Navigation', 'Sports: Data Extraction', 'Information Retrieval: Web Search', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
104-ResearchAndNoteF1Principals,"In BBC Sports app, go to the 'Formula 1' -> 'Constructors'' standings. Remember the names and points of the top three teams. Then, for each team, search in Bing app for their ""team principal"" name. In Joplin app, create a note titled ""F1 Top 3 Principals"" listing each team with their points and team principal.","['BBC Sports', 'bing', 'joplin']",3,Y,"['Sports: Data Extraction', 'Information Retrieval: Web Search', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
111-SearchAndSetWallpaper,"Open the bing app and search for 'minimalist black and white wallpaper' images. From the results, find the first image that has a portrait (vertical) orientation suitable for a phone wallpaper. Long-press to download this image. Then, open the Setting app, navigate to wallpaper settings, and change your home screen wallpaper to the image you just downloaded.","['bing','Files','Setting']",3,Y,"['Information Retrieval: Image Search & Understanding', 'Device Configuration: Setting Adjustment']",Y,3,Action Execution Task,15,1,ENG
