task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
019-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Kids & Toys' -> 'Toys & Games' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Baby Gears' category. Finally, navigate to the product page of the toy with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis', 'Productivity: Note Taking']",Y,2,UI Interactive Output,20,1,ENG
020-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Home & Kitchen' -> 'Kitchen Tools' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Storage & Organizers' category. Finally, navigate to the product page of the item with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,20,1,ENG
023-ToggleSystemSetting,Open the Setting app and go to the 'Navigation mode' settings. Find the 'Circle to Search' feature and turn its toggle switch to the off position.,['Setting'],1,N,['Device Configuration: Setting Adjustment'],N,1,Action Execution Task,6,1,ENG
024-ToggleSystemSetting,Open the Setting app and go to the 'Navigation mode' settings. Find the 'Circle to Search' feature and turn its toggle switch to the on position.,['Setting'],1,N,['Device Configuration: Setting Adjustment'],N,1,Action Execution Task,3,1,ENG
025-FindAndCompareWikiStats,"Open the Wikipedia app, search for 'English Wikipedia' and find the current number of articles it contains. Remember this number. Then, search for 'German Wikipedia' and find its current number of articles. Go to and stay on the page of the Wikipedia edition that has more articles",['Wikipedia'],1,N,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,1,Action Execution Task,13,1,ENG
026-FindAndCompareWikiStats,"Open the Wikipedia app, first search for 'Beijing' and remember its population. Next, search for 'Shanghai' and remember its population. Compare the two, and then go to and remain on the Wikipedia page for the city with the larger population",['Wikipedia'],1,N,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,1,Action Execution Task,13,1,ENG
027-NavigateAndCompareItems,"In the Wish app, identify two items: the cheapest in 'Jewelry & watches' -> 'Fashion jewelry' (from top 6), and the cheapest in the 'Watches' sub-category (from top 6). Remember the number of reviews for both. Navigate to the page of whichever of these two items has more reviews.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,19,1,ENG
028-NavigateAndCompareItems,"In the Wish app, identify two items: the one with the most reviews in 'Office & tech' -> 'Parts & storage' (from top 6), and the one with the most reviews in the 'Hardware' sub-category (from top 6). Remember the price for both. Navigate to the page of whichever of these two items is cheaper.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Review Analysis', 'E-commerce: Price Comparison']",Y,2,UI Interactive Output,19,1,ENG
035-CheckProductCompatibility,"Open Amazon app, search for 'Anker 737 Power Bank'. Find its price, capacity (in mAh), and all output port types. Then, search for 'MacBook Air M2' and find its required charging port. Next, search for 'iPhone 15 Pro' and find its charging port. In Joplin app, note all the collected data and answer if the power bank can simultaneously charge both devices.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
036-CheckProductCompatibility,"Open Amazon app, search for 'Samsung T7 Shield SSD'. Find its price, storage capacity, and read/write speeds. Then search for 'PlayStation 5' and find its USB port specifications. Next, search for 'Xbox Series X' and find its USB port specifications. In Joplin app, note all collected data and answer if the SSD is fully compatible with both consoles' USB standards for external storage.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
041-CheckRamCompatibilityAndPrice,"Open the Amazon app, search for ""32GB DDR5 RAM"", filter for the ""Corsair"" brand, and remember the price and clock speed of the first item in the search results. Then, open the Bing app and search for ""ASUS ROG Strix Z790-E motherboard maximum supported memory speed"". Finally, confirm if the clock speed of that Corsair RAM is less than or equal to the motherboard's maximum supported speed. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,14,1,ENG
042-CheckSsdCompatibilityAndPrice,"Open the Amazon app, search for ""1TB External SSD"", filter for the ""Samsung"" brand, and remember the price and the read/write speed of the first item in the search results. Then, open the Bing app and search for ""PlayStation 5 external SSD speed requirement"". Finally, confirm if the SSD's speed meets or exceeds the PS5's requirement. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,17,1,ENG
047-FindApartmentAndNoteDetails,"Open the Apartments.com app, search for listings in San Francisco, and filter for 'fitness center' and 'pool'. Then, go into the detail pages for the first three results and remember the address and phone number for each. Finally, open the Joplin app, create a new note, and record all collected addresses and phone numbers.","['Apartments.com Rental Search','joplin']",2,Y,"['Travel & Navigation: Local Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,4,UI Interactive Output,17,1,ENG
048-FindApartmentAndNoteDetails,"Open the Apartments.com app, search for listings in New York, NY, and filter for 'cat friendly' and 'in-unit washer'. Then, go into the detail pages for the first three results and remember the address and phone number for each. Finally, open the Joplin app, create a new note, and record all collected addresses and phone numbers.","['Apartments.com Rental Search','joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,4,UI Interactive Output,19,1,ENG
063-SearchImageAndDescribe,"Open the bing app and perform an image search for 'Global Smartphone Shipments Market Share 2021'. From the image results, locate and carefully analyze the chart that specifically displays the data for Q3 2021. Identify the top three brands from this Q3 chart, and remember their names and their exact market share percentages. Finally, open the joplin app, create a new note titled 'Smartphone Market Share 2021 Q3', and list the top three brands with their corresponding percentages.","['bing','joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,17,1,ENG
064-SearchImageAndCreateNote,"Open the bing app and perform an image search for 'Global Vehicle Sales Trend by region November 2023'. Carefully analyze the first clear chart that appears in the search results. From this chart, identify the top three regions with the highest sales growth or volume, and remember the names of these regions and their corresponding data values (e.g., sales numbers or percentage growth). Finally, open the joplin app, create a new note titled 'Vehicle Sales Trend November 2023', and list the top three regions with their data","['bing','joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,17,1,ENG
067-PlanAndMessageRoute,"In the Citymapper app, find the travel times for a two-leg journey in Washington D.C.: 1) The White House to the Lincoln Memorial, and 2) the Lincoln Memorial to the National Air and Space Museum. For each leg, find the times for Public Transit, Walking, and Taxi. Determine the fastest possible total travel time by combining the modes for each leg. Send a message to +8613811118888 stating this fastest route combination and the total time.","['Citymapper', 'messages']",2,Y,"['Travel & Navigation: Route Planning', 'Communication: Messaging']",Y,3,UI Interactive Output,24,1,ENG
068-PlanAndMessageRoute,"In the Citymapper app, find the travel times for a two-leg journey in New York City: 1) Statue of Liberty to the Empire State Building, and 2) the Empire State Building to The Metropolitan Museum of Art. For each leg, find the times for Public Transit, Walking, and Taxi. Determine the fastest possible total travel time by combining the modes for each leg. Send a message to +8613822229999 stating this fastest route combination and the total time.","['Citymapper', 'messages']",2,Y,"['Travel & Navigation: Route Planning', 'Information Retrieval: Data Extraction', 'Communication: Messaging']",Y,3,UI Interactive Output,24,1,ENG
077-CheckAndNotePermissions,"Open the Setting app and go to 'Special app access'. First, view the apps with 'Wi-Fi control' permission and remember the list of app names. Next, view the apps allowed 'Picture-in-picture' access and remember that list of names. Finally, open the joplin app, create a note titled 'App Access Permissions', and list the names you remembered under two headings: 'Wi-Fi Control' and 'Picture-in-picture'.","['Setting', 'joplin']",2,Y,"['Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,Action Execution Task,13,1,ENG
078-CheckAndNotePermissions,"Open the Setting app and go to 'Special app access'. First, check how many apps have 'Wi-Fi control' permission and remember the count. Then, check how many apps are allowed to 'Install unknown apps' and remember that count. Finally, open the joplin app and create a note titled 'App Permissions' that records both counts.","['Setting','joplin']",2,Y,"['Device Configuration: Setting Adjustment', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,Action Execution Task,15,1,ENG
093-MultiAppPriceComparison,"Search for 'Bose QuietComfort Ultra Headphones' on both the Amazon and Wish apps, remembering the price and currency from each. If the currencies are different, use the bing app to find the exchange rate to compare them. Directly answer with the name of the app, 'Amazon' or 'Wish', where the price is lower.","['Amazon', 'Wish', 'bing']",3,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Web Search']",Y,3,Direct Command Output,14,1,ENG
094-MultiAppPriceComparison,"Search for 'iPhone 16 Pro Max' on both the Amazon and Wish apps, remembering the price and currency from each. If the currencies are different, use the bing app to find the exchange rate to compare them. Directly answer with the name of the app, 'Amazon' or 'Wish', where the price is lower.","['Amazon', 'Wish', 'bing']",3,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Web Search']",Y,3,Direct Command Output,15,1,ENG
103-TrackSportsStandings,"In the BBC Sports app, go to the 'Formula 1' -> 'Drivers'' standings. Remember the names and points of the top three drivers. Then, for each driver, search in the Bing app for their age. In the Joplin app, create a note titled ""F1 Top 3 Ages"" listing each driver with their points and age.","['BBC Sports', 'bing', 'joplin']",3,Y,"['Sports: Content Navigation', 'Sports: Data Extraction', 'Information Retrieval: Web Search', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
104-ResearchAndNoteF1Principals,"In BBC Sports app, go to the 'Formula 1' -> 'Constructors'' standings. Remember the names and points of the top three teams. Then, for each team, search in Bing app for their ""team principal"" name. In Joplin app, create a note titled ""F1 Top 3 Principals"" listing each team with their points and team principal.","['BBC Sports', 'bing', 'joplin']",3,Y,"['Sports: Data Extraction', 'Information Retrieval: Web Search', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
109-AnalyzeMarketAndInvest,"Open the bing app, search for 'NVIDIA stock price', and remember the current price. Then open the AP News app, find the latest news about NVIDIA earnings report, and remember the reported revenue growth rate. Finally, open the Calculator app and calculate: stock price * (1 + revenue growth rate). ","['bing','AP News','Calculator']",3,Y,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation']",Y,3,Direct Command Output,17,1,ENG
110-AnalyzeMarketAndInvest,"Open the bing app, search for 'Apple stock price', and remember the current price. Then open the AP News app, find the latest news about Apple earnings report, and remember the reported revenue growth rate. Finally, open the Calculator app and calculate: stock price * (1 + revenue growth rate). ","['bing','AP News','Calculator']",3,Y,"['Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation']",Y,3,Direct Command Output,18,1,ENG
111-SearchAndSetWallpaper,"Open the bing app and search for 'minimalist black and white wallpaper' images. From the results, find the first image that has a portrait (vertical) orientation suitable for a phone wallpaper. Long-press to download this image. Then, open the Setting app, navigate to wallpaper settings, and change your home screen wallpaper to the image you just downloaded.","['bing','Files','Setting']",3,Y,"['Information Retrieval: Image Search & Understanding', 'Device Configuration: Setting Adjustment']",Y,3,Action Execution Task,15,1,ENG
112-SearchAndSetWallpaper,"Open the bing app and search for 'abstract blue ocean wallpaper' images. From the results, find the first image that is in a portrait (vertical) format. Long-press and download this image. Afterwards, open the Setting app, navigate to the wallpaper settings, and change your lock screen wallpaper to the downloaded image.","['bing','Files','Setting']",3,Y,"['Information Retrieval: Image Search & Understanding', 'Device Configuration: Setting Adjustment']",Y,3,Action Execution Task,16,1,ENG
115-FindRecipeAndCalculateCost,"Open the wikiHow app and search for ""how to bake chocolate chip cookies"". Create a checklist in the joplin app named ""Cookie Ingredients"" with the first four ingredients listed. Then, open the Calculator app and calculate the total cost, assuming each of the four ingredients costs $3.50.","['wikiHow','joplin','Calculator']",3,Y,"['Information Retrieval: Web Search', 'Education & Learning: Knowledge Acquisition', 'Productivity: Checklist Management', 'Financial Management: Financial Calculation']",Y,3,Action Execution Task,15,1,ENG
116-FindRecipeAndCalculateCost,"Open the wikiHow app and search for ""how to make a pizza"". Create a checklist in the joplin app named ""Pizza Ingredients"" with the first four ingredients listed. Then, open the Calculator app and calculate the total cost, assuming each of the four ingredients costs $4.25.","['wikiHow','joplin','Calculator']",3,Y,"['Education & Learning: Knowledge Acquisition', 'Productivity: Checklist Management', 'Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation']",Y,3,Action Execution Task,12,1,ENG
121-AnalyzeApartmentCommute,"Open the Apartments.com app, search in 'Mountain View, CA', and remember the address and rent of the first result. Open the bing app and search for the address of the ""Googleplex"". Open the Citymapper app and find the public transit commute time between the apartment address and the Googleplex. Finally, open the joplin app and create a note titled ""Google Commute"" with the apartment's rent and the calculated commute time.","['Apartments.com Rental Search','bing','Citymapper','joplin']",4,Y,"['E-commerce: Product Search', 'Information Retrieval: Web Search', 'Travel & Navigation: Route Planning', 'Productivity: Note Taking', 'Information Retrieval: Data Extraction']",Y,4,UI Interactive Output,19,1,ENG
124-PlanApartmentBudgetAndReminder,"Open Apartments.com, search for 'Chicago, IL', filter for 'in-unit laundry', and remember the monthly rent of the first result. Open the Calculator app and calculate a 1.5x security deposit based on the rent. Open the bluecoins app and create a savings goal named ""Apartment Deposit"" for this calculated amount. Finally, open the N calendar app and set a reminder for tomorrow titled ""Follow up on Chicago apartment"".","['Apartments.com Rental Search','Calculator','bluecoins','N calendar']",4,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation', 'Financial Management: Set Saving Goal', 'Productivity: Time Management']",Y,4,Action Execution Task,17,1,ENG
127-CompareCarsAndResearch,"Open Cars.co.za app, search for a 'Volkswagen Polo', and remember the price of the first result. Then search for a 'Hyundai i20' and remember the price of the first result. Open the Calculator app and find the price difference. Open the joplin app to note which car is more expensive and by how much. Finally, open the bing app and search for ""Volkswagen Polo vs Hyundai i20 safety rating"". Stay on the search results page.","['Cars.co.za','bing','joplin','Calculator']",4,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Multi-App Comparison', 'Financial Management: Financial Calculation', 'Productivity: Note Taking', 'Information Retrieval: Web Search']",Y,4,Action Execution Task,12,1,ENG
128-CompareCarsAndResearch,"Open Cars.co.za app, search for a 'Ford Ranger', and remember the price of the first result. Then search for a 'Toyota Hilux' and remember the price of the first result. Open the Calculator app and find the price difference. Open the joplin app to note which car is more expensive and by how much. Finally, open the bing app and search for ""Ford Ranger vs Toyota Hilux reliability"". Stay on the search results page.","['Cars.co.za','Calculator','joplin','bing']",4,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Multi-App Comparison', 'Financial Management: Financial Calculation', 'Productivity: Note Taking', 'Information Retrieval: Web Search']",Y,4,Action Execution Task,19,1,ENG
