task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
014-CompareCourseInfo,"In the Coursera app, search for courses offered by the ""University of Michigan"". For the first six courses in the search results, find and remember each course's star rating, total number of reviews, and number of available languages. Then, for all six courses, calculate a 'popularity score' (star rating * number of reviews * number of languages). Finally, navigate to the course page with the highest calculated popularity score.",['coursera'],1,N,"['Education & Learning: Course Search', 'Information Retrieval: Data Extraction', 'E-commerce: Review Analysis']",Y,3,UI Interactive Output,29,2,ENG
015-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Shopping List"" and the content ""Milk and bread"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
016-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Meeting Minutes"" and the content ""Discuss progress on Project A"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
017-SearchAndCompareRatings,"In the Meesho app, find the first search result for three sarees: ""Banarasi Silk"", ""Kanjivaram Silk"", and ""Paithani Silk"". For each, remember its star rating and price. Then, navigate to the product page of the saree with the best value (highest rating-to-price ratio).",['Meesho'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'Information Retrieval: Data Extraction']",Y,3,UI Interactive Output,23,1,ENG
018-SearchAndCompareRatings,"In the Meesho app, find the first search result for three kurtas: ""Chikankari Kurta"", ""Rayon Anarkali Kurta"", and ""Jaipuri Cotton Kurta"". For each, remember its star rating and price. Then, navigate to the product page of the kurta with the best value (highest rating-to-price ratio).",['Meesho'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,3,UI Interactive Output,23,1,ENG
019-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Kids & Toys' -> 'Toys & Games' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Baby Gears' category. Finally, navigate to the product page of the toy with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis', 'Productivity: Note Taking']",Y,2,UI Interactive Output,20,1,ENG
020-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Home & Kitchen' -> 'Kitchen Tools' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Storage & Organizers' category. Finally, navigate to the product page of the item with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,20,1,ENG
021-NavigateAndComparePrices,"In the Net-a-Porter app, find the following four items: the first ""black"" handbag, the first ""leather"" belt, the first ""cashmere"" scarf, and the first pair of ""white"" sneakers. For each item, remember its price and its designer or brand name (prioritize designer). Identify the most and least expensive items. If the designer/brand of the most expensive item comes first alphabetically, navigate to its page. Otherwise, navigate to the page of the least expensive item.",['Net-a-Porter'],1,N,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'E-commerce: Price Comparison']",Y,4,UI Interactive Output,36,2,ENG
022-NavigateAndComparePrices,"In the Net-a-Porter app, find the following four items: the first ""red"" dress, the first pair of ""gold"" sandals, the first ""green"" skirt, and the first ""white"" top. For each item, remember its price and its designer or brand name (prioritize designer). Identify the most and least expensive items. If they are by the same designer/brand, navigate to the page of the most expensive item. Otherwise, navigate to the page of the least expensive item.",['Net-a-Porter'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison']",Y,4,UI Interactive Output,36,2,ENG
023-ToggleSystemSetting,Open the Setting app and go to the 'Navigation mode' settings. Find the 'Circle to Search' feature and turn its toggle switch to the off position.,['Setting'],1,N,['Device Configuration: Setting Adjustment'],N,1,Action Execution Task,6,1,ENG
024-ToggleSystemSetting,Open the Setting app and go to the 'Navigation mode' settings. Find the 'Circle to Search' feature and turn its toggle switch to the on position.,['Setting'],1,N,['Device Configuration: Setting Adjustment'],N,1,Action Execution Task,3,1,ENG
025-FindAndCompareWikiStats,"Open the Wikipedia app, search for 'English Wikipedia' and find the current number of articles it contains. Remember this number. Then, search for 'German Wikipedia' and find its current number of articles. Go to and stay on the page of the Wikipedia edition that has more articles",['Wikipedia'],1,N,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,1,Action Execution Task,13,1,ENG
026-FindAndCompareWikiStats,"Open the Wikipedia app, first search for 'Beijing' and remember its population. Next, search for 'Shanghai' and remember its population. Compare the two, and then go to and remain on the Wikipedia page for the city with the larger population",['Wikipedia'],1,N,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,1,Action Execution Task,13,1,ENG
027-NavigateAndCompareItems,"In the Wish app, identify two items: the cheapest in 'Jewelry & watches' -> 'Fashion jewelry' (from top 6), and the cheapest in the 'Watches' sub-category (from top 6). Remember the number of reviews for both. Navigate to the page of whichever of these two items has more reviews.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,19,1,ENG
028-NavigateAndCompareItems,"In the Wish app, identify two items: the one with the most reviews in 'Office & tech' -> 'Parts & storage' (from top 6), and the one with the most reviews in the 'Hardware' sub-category (from top 6). Remember the price for both. Navigate to the page of whichever of these two items is cheaper.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Review Analysis', 'E-commerce: Price Comparison']",Y,2,UI Interactive Output,19,1,ENG
029-FindAndRecordTopRatedBooks,"Open the Amazon Kindle app and locate this month's 'Bestsellers' list. From the top 10, identify the three books with the highest number of customer ratings. For each, remember its title, price, and description. Open Joplin app and create a note titled ""Top Rated Books"" listing the title, price, and description for all three books.","['Amazon Kindle', 'joplin']",2,Y,"['E-commerce: Category Navigation', 'E-commerce: Review Analysis', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,37,2,ENG
030-FindAudiobook,"Open the Amazon Kindle app and navigate to 'Bestsellers'. Find the first three books that support audio narration. For each, remember its title, rating, and description. Open Joplin app and create a note titled ""Audiobooks Found"" listing the title, rating, and description for all three books.","['Amazon Kindle', 'joplin']",2,Y,"['E-commerce: Category Navigation', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,37,2,ENG
031-SearchAndNoteBookSeries,"In the Amazon Kindle app, find the title, customer rating, and page count for the first four books of the 'Dune' series. Then, in Joplin, create a note titled 'Dune Series Analysis' listing the books ordered by highest rating, showing all collected data for each.","['Amazon Kindle', 'joplin']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'E-commerce: Review Analysis', 'Productivity: Note Taking', 'E-commerce: Filter & Sort']",Y,2,UI Interactive Output,29,2,ENG
032-SearchAndNoteBookSeries,"In the Amazon Kindle app, find the title, customer rating, and page count for the first four books of the 'A Song of Ice and Fire' series. Then, in Joplin, create a note titled 'A Song of Ice and Fire Series Analysis' listing the books ordered by highest rating, showing all collected data for each.","['Amazon Kindle', 'joplin']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'E-commerce: Review Analysis', 'Productivity: Note Taking']",Y,2,UI Interactive Output,29,2,ENG
033-CompareProductReviews,"Open Amazon app and search for these three products: 'Logitech C920', 'Razer Kiyo', 'Elgato Facecam'. For each, find and remember its price, star rating, and total number of reviews. In Joplin app, create a note titled ""Webcam Value Score"". For each camera, calculate a 'value score' using the formula: (star rating * number of reviews) / price. List each camera and its score, then state which has the highest score.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking', 'Financial Management: Financial Calculation', 'E-commerce: Price Comparison']",Y,3,UI Interactive Output,45,3,ENG
034-CompareProductSpecs,"Open Amazon app and search for these three products: 'Kindle Paperwhite', 'Kobo Libra 2', 'reMarkable 2'. For each, find and remember its price, screen size (in inches), and storage capacity (in GB). In Joplin app, create a note titled ""E-reader Value Score"". For each device, calculate a 'value score' using the formula: (screen size * storage capacity) / price. List each device and its score, then state which has the highest score.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Specification Comparison', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,3,UI Interactive Output,45,3,ENG
035-CheckProductCompatibility,"Open Amazon app, search for 'Anker 737 Power Bank'. Find its price, capacity (in mAh), and all output port types. Then, search for 'MacBook Air M2' and find its required charging port. Next, search for 'iPhone 15 Pro' and find its charging port. In Joplin app, note all the collected data and answer if the power bank can simultaneously charge both devices.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
036-CheckProductCompatibility,"Open Amazon app, search for 'Samsung T7 Shield SSD'. Find its price, storage capacity, and read/write speeds. Then search for 'PlayStation 5' and find its USB port specifications. Next, search for 'Xbox Series X' and find its USB port specifications. In Joplin app, note all collected data and answer if the SSD is fully compatible with both consoles' USB standards for external storage.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'E-commerce: Compatibility Check', 'Productivity: Note Taking']",Y,3,UI Interactive Output,24,1,ENG
037-CompareProductSpecs,"Open the Amazon app. First, search for 'iPhone 15 Pro' and remember its screen size, battery capacity, and storage options. Second, search for 'Samsung Galaxy S24 Ultra' and remember the same three specifications. Third, search for 'Google Pixel 8 Pro' and remember the same three specifications. Finally, open the Joplin app, create a note titled 'Phone Spec Matrix', and list all nine specifications for the three phones.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,3,UI Interactive Output,34,2,ENG
038-CompareProductSpecs,"Open the Amazon app. First, search for 'Sony WH-1000XM5' and remember its weight, battery life, and Bluetooth version. Second, search for 'Bose QuietComfort Ultra Headphones' and remember the same three specifications. Third, search for 'Sennheiser Momentum 4' and remember the same three specifications. Finally, open the Joplin app, create a note titled 'Headphone Spec Matrix', and list all nine specifications for the three headphones.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,3,UI Interactive Output,27,2,ENG
039-TranscribeProductReviews,"In the Amazon app, search for the 'Instant Pot Duo' and navigate to its customer reviews section. Read and remember the full original text of the top ten reviews listed. Do not use the copy function. Then, open the Joplin app and create a new note titled 'Instant Pot - Full Reviews'. In the note, accurately type out the full original text for all ten reviews you remembered.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Review Analysis', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,2,UI Interactive Output,55,3,ENG
040-TranscribeProductReviews,"In the Amazon app, search for the 'Bose QuietComfort Ultra Headphones' and navigate to its customer reviews section. Read and remember the full original text of the top ten reviews listed. Do not use the copy function. Then, open the Joplin app and create a new note titled 'Bose QC - Full Reviews'. In the note, accurately type out the full original text for all ten reviews you remembered.","['Amazon', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Review Analysis', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,2,UI Interactive Output,55,3,ENG
041-CheckRamCompatibilityAndPrice,"Open the Amazon app, search for ""32GB DDR5 RAM"", filter for the ""Corsair"" brand, and remember the price and clock speed of the first item in the search results. Then, open the Bing app and search for ""ASUS ROG Strix Z790-E motherboard maximum supported memory speed"". Finally, confirm if the clock speed of that Corsair RAM is less than or equal to the motherboard's maximum supported speed. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,14,1,ENG
042-CheckSsdCompatibilityAndPrice,"Open the Amazon app, search for ""1TB External SSD"", filter for the ""Samsung"" brand, and remember the price and the read/write speed of the first item in the search results. Then, open the Bing app and search for ""PlayStation 5 external SSD speed requirement"". Finally, confirm if the SSD's speed meets or exceeds the PS5's requirement. Directly answer with its price if it is compatible, or ""Not compatible"" if it isn't.","['Amazon','bing']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Web Search', 'E-commerce: Compatibility Check', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Data Extraction']",Y,4,Direct Command Output,17,1,ENG
043-CreateNewsDigest,"In the AP News app, find the three most recent articles from the 'U.S. NEWS' section and the three most recent from the 'World' section. For each of the six articles, open it, read the full text, and remember its title and main content. Then, in the Joplin app, create a note titled ""News Digest"". For each of the six articles, list its title followed by a ~50-word summary of its content, grouped by section.","['AP News', 'joplin']",2,Y,"['Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,2,UI Interactive Output,95,3,ENG
044-CreateNewsDigest,"In the AP News app, find the three most recent articles from the 'Technology' section and the three most recent from the 'Business' section. For each of the six articles, open it, read the full text, and remember its title and main content. Then, in the Joplin app, create a note titled ""Tech & Business Digest"". For each of the six articles, list its title followed by a ~50-word summary of its content, grouped by section.","['AP News', 'joplin']",2,Y,"['Information Retrieval: Data Extraction', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,2,UI Interactive Output,95,3,ENG
045-CompareApartmentFeatures,"In Google Chrome on https://www.apartments.com, search for listings in 'Austin, TX'. For the first ten results, enter each detail page and remember the address, monthly rent, and square footage. Then, open the Joplin app and create a note titled ""Austin Apartment Data"". In the note, list all ten apartments, ordered from the largest square footage to the smallest, including their address, rent, and square footage for each.","['Chrome', 'joplin']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,160,3,ENG
046-CompareApartmentFeatures,"In Google Chrome on https://www.apartments.com, search for listings in 'Denver, CO'. For the first ten results, enter each detail page and remember the address, monthly rent, and number of bedrooms. Then, open the Joplin app and create a note titled ""Denver Apartment Data"". In the note, list all ten apartments, ordered from the lowest rent to the highest, including their address, rent, and number of bedrooms for each.","['Chrome', 'joplin']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,160,3,ENG
047-FindApartmentAndNoteDetails,"Open Google Chrome and go to https://www.apartments.com, search for listings in San Francisco, and filter for 'fitness center' and 'pool'. Then, go into the detail pages for the first three results and remember the address and phone number for each. Finally, open the Joplin app, create a new note, and record all collected addresses and phone numbers.","['Chrome','joplin']",2,Y,"['Travel & Navigation: Local Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,4,UI Interactive Output,17,1,ENG
048-FindApartmentAndNoteDetails,"Open Google Chrome and go to https://www.apartments.com, search for listings in New York, NY, and filter for 'cat friendly' and 'in-unit washer'. Then, go into the detail pages for the first three results and remember the address and phone number for each. Finally, open the Joplin app, create a new note, and record all collected addresses and phone numbers.","['Chrome','joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,4,UI Interactive Output,19,1,ENG
049-FindCarAndCalculateLoan,"In the AutoUncle app (UK), first search for a 'Ford Focus' and remember the price and mileage of the first non-sponsored result. Then, separately search for a 'Vauxhall Corsa' and remember the price and mileage of its first non-sponsored result. In the Calculator app, determine which car has a lower price-to-mileage ratio (price/mileage). Then, for that better-value car, calculate the loan amount needed for an 80% financing.","['AutoUncle:Search used cars', 'Calculator']",2,Y,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'E-commerce: Price Comparison', 'Financial Management: Financial Calculation']",Y,2,UI Interactive Output,59,3,ENG
050-FindCarAndCalculateLoan,"In the AutoUncle app (Germany), first search for a 'Mercedes-Benz C-Class' and remember the price and mileage of the first non-sponsored result. Then, separately search for a 'BMW 3 Series' and remember the price and mileage of its first non-sponsored result. In the Calculator app, determine which car has a lower price-to-mileage ratio (price/mileage). Then, for that better-value car, calculate the loan amount needed for an 80% financing.","['AutoUncle:Search used cars', 'Calculator']",2,Y,"['E-commerce: Product Search', 'E-commerce: Multi-App Comparison', 'Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation']",Y,2,UI Interactive Output,59,3,ENG
051-CompareCarSpecs,"In the AutoUncle app (UK), find a 'Honda Civic', a 'Toyota Corolla', and a 'Mazda 3'. For each car, remember its engine size, fuel type, and price. In the Joplin app, create a note titled ""Compact Car Comparison"" and list all three cars with all three of their specs.","['AutoUncle:Search used cars', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'Productivity: Note Taking']",Y,3,UI Interactive Output,51,3,ENG
052-CompareCarSpecs,"In the AutoUncle app (Germany), find a 'BMW 3 Series', an 'Audi A4', and a 'Mercedes-Benz C-Class'. For each car, remember its mileage, transmission type, and price. In the Joplin app, create a note titled ""German Sedan Comparison"" and list all three cars with all three of their specs.","['AutoUncle:Search used cars', 'joplin']",2,Y,"['E-commerce: Product Search', 'E-commerce: Specification Comparison', 'E-commerce: Multi-App Comparison', 'Productivity: Note Taking']",Y,3,UI Interactive Output,51,3,ENG
053-SearchCarAndSendMessage,"In the AutoUncle app (Germany), search for 'Audi' with filters: after 2021, mileage below 50,000 km, automatic, petrol. From the results, find the most expensive car and the least expensive car. Remember the model and price for both. In the messages app, send ""Most Expensive: [Model] - [Price]. Least Expensive: [Model] - [Price]."" to +8613911112222.","['AutoUncle:Search used cars', 'messages']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'E-commerce: Price Comparison', 'Communication: Messaging', 'Communication: Data Sharing']",Y,2,UI Interactive Output,35,2,ENG
054-SearchCarWithMultipleCriteria,"In the AutoUncle app (UK), search for 'Land Rover' with filters: after 2020, mileage below 80,000 km, diesel. From the results, find the car with the highest mileage and the car with the lowest mileage. Remember the price and mileage for both. In the messages app, send ""Highest Mileage: [Mileage]km - [Price]. Lowest Mileage: [Mileage]km - [Price]."" to +8613933334444.","['AutoUncle:Search used cars', 'messages']",2,Y,"['E-commerce: Product Search', 'E-commerce: Filter & Sort', 'E-commerce: Specification Comparison', 'Information Retrieval: Data Extraction', 'Communication: Messaging', 'Communication: Data Sharing']",Y,2,UI Interactive Output,35,2,ENG
055-SearchAndCalculate,"In Bing app, find the current exchange rates for USD to EUR and USD to GBP. Remember both rates. In the Calculator app, first calculate how much $1500 USD is in EUR. Then, calculate how much the resulting EUR amount is worth in GBP (this requires a second conversion step using the two initial rates). Directly answer with the final GBP amount.","['bing', 'Calculator']",2,Y,"['Information Retrieval: Fact Checking', 'Financial Management: Financial Calculation']",Y,2,Direct Command Output,35,2,ENG
056-SearchAndCalculate,"In Bing app, find the current stock prices for NVIDIA (NVDA) and Apple (AAPL). Remember both prices. In the Calculator app, first calculate the value of 50 NVDA shares. Then, calculate the value of 75 AAPL shares. Finally, calculate the total combined value of both holdings. Directly answer with the final combined value.","['bing', 'Calculator']",2,Y,"['Information Retrieval: Fact Checking', 'Information Retrieval: Data Extraction', 'Financial Management: Financial Calculation']",Y,2,Direct Command Output,35,2,ENG
057-FindWebImagesAndCreateNotes,"On the NASA APOD website found via Bing app, locate the three most recent daily pictures. For each of the three pictures, create a separate note in Joplin app. Each note must use the picture's title as its own title, contain a brief visual description, and have the corresponding image directly inserted or attached into the note's body.","['bing', 'joplin']",2,Y,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Information Retrieval: Image Analysis', 'Productivity: Note Taking', 'Content Creation: Text Creation']",Y,3,Action Execution Task,51,3,ENG
058-FindImagesAndCreateNotes,"On the ""Smithsonian Magazine Photo of the Day"" page found via Bing app, locate the three most recent daily photos. For each of the three photos, create a separate note in Joplin app. Each note must use the photo's title as its own title, contain a brief description, and have the corresponding image directly inserted or attached into the note's body.","['bing', 'joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Productivity: Note Taking']",Y,3,Action Execution Task,51,3,ENG
059-FindDateAndCreateEvent,"In Bing app, find the date for next year's Thanksgiving and for next year's Easter. Remember both dates. Open the N calendar app. Create an all-day event on the Thanksgiving date named ""Thanksgiving Dinner"". Then, create a second all-day event on the Easter date named ""Easter Egg Hunt"".","['bing', 'N calendar']",2,Y,"['Information Retrieval: Fact Checking', 'Productivity: Time Management']",Y,2,Action Execution Task,35,2,ENG
060-FindDateAndCreateEvent,"In Bing app, find the date for the next leap day and for next year's Halloween. Remember both dates. Open the N calendar app. Create an all-day event on the leap day named ""Leap Day Fun"". Then, create a second all-day event on the Halloween date named ""Halloween Party"".","['bing', 'N calendar']",2,Y,"['Information Retrieval: Web Search', 'Information Retrieval: Fact Checking', 'Productivity: Time Management']",Y,2,Action Execution Task,35,2,ENG
061-ResearchAndSetReminder,"In the Bing app, search for the host cities and years of the next three Summer Olympics. Remember all three cities and years. Open the N Calendar app and create an all-day event on July 1st of the first Olympic year titled ""[City] Olympics"". Then, create two more all-day events on July 1st of the subsequent Olympic years with their appropriate titles.","['bing', 'N calendar']",2,Y,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Productivity: Time Management']",Y,2,Action Execution Task,40,2,ENG
062-ResearchAndSetReminder,"In the Bing app, search for the host countries and years of the next three FIFA World Cups. Remember all three countries and years. Open the N Calendar app and create an all-day event on June 1st of the first World Cup year titled ""[Country] World Cup"". Then, create two more all-day events on June 1st of the subsequent World Cup years with their appropriate titles.","['bing', 'N calendar']",2,Y,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Productivity: Time Management']",Y,2,Action Execution Task,40,2,ENG
063-SearchImageAndDescribe,"Open the bing app and perform an image search for 'Global Smartphone Shipments Market Share 2021'. From the image results, locate and carefully analyze the chart that specifically displays the data for Q3 2021. Identify the top three brands from this Q3 chart, and remember their names and their exact market share percentages. Finally, open the joplin app, create a new note titled 'Smartphone Market Share 2021 Q3', and list the top three brands with their corresponding percentages.","['bing','joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,17,1,ENG
064-SearchImageAndCreateNote,"Open the bing app and perform an image search for 'Global Vehicle Sales Trend by region November 2023'. Carefully analyze the first clear chart that appears in the search results. From this chart, identify the top three regions with the highest sales growth or volume, and remember the names of these regions and their corresponding data values (e.g., sales numbers or percentage growth). Finally, open the joplin app, create a new note titled 'Vehicle Sales Trend November 2023', and list the top three regions with their data","['bing','joplin']",2,Y,"['Information Retrieval: Image Search & Understanding', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,2,UI Interactive Output,17,1,ENG
065-CompareRouteOptions,"In the Citymapper app, plan a route from ""Central Park, NYC"" to ""JFK Airport"". Find the time, cost, and number of transfers for four transport options: Public Transit, Driving, Taxi, and Bikeshare. In the Joplin app, create a note titled ""JFK Transit Analysis"", list the full data for all four options, then summarize which is the fastest, cheapest, and has the fewest transfers.","['Citymapper', 'joplin']",2,Y,"['Travel & Navigation: Route Planning', 'Information Retrieval: Data Extraction', 'Productivity: Note Taking']",Y,4,UI Interactive Output,25,2,ENG
